dgeqrf dgorgqr LAPACK | m =   51, n =   51, k =   51, nb =    3, lda =   51, ldq =   51,              | time = 0.000023   GFlop/sec = 7.647816| repres  = 5.2e-16    ortho = 3.6e-15 
dgeqrf dgorgqr LAPACK | m =   52, n =   52, k =   52, nb =    3, lda =   52, ldq =   52,              | time = 0.000023   GFlop/sec = 8.106566| repres  = 5.6e-16    ortho = 3.8e-15 
dgeqrf dgorgqr LAPACK | m =   53, n =   53, k =   53, nb =    3, lda =   53, ldq =   53,              | time = 0.000024   GFlop/sec = 8.243372| repres  = 4.9e-16    ortho = 3.7e-15 
dgeqrf dgorgqr LAPACK | m =   54, n =   54, k =   54, nb =    3, lda =   54, ldq =   54,              | time = 0.000025   GFlop/sec = 8.386691| repres  = 5.0e-16    ortho = 3.7e-15 
dgeqrf dgorgqr LAPACK | m =   55, n =   55, k =   55, nb =    3, lda =   55, ldq =   55,              | time = 0.000026   GFlop/sec = 8.536114| repres  = 4.9e-16    ortho = 3.3e-15 
dgeqrf dgorgqr LAPACK | m =   56, n =   56, k =   56, nb =    3, lda =   56, ldq =   56,              | time = 0.000029   GFlop/sec = 8.116660| repres  = 5.3e-16    ortho = 3.8e-15 
dgeqrf dgorgqr LAPACK | m =   57, n =   57, k =   57, nb =    3, lda =   57, ldq =   57,              | time = 0.000027   GFlop/sec = 9.165259| repres  = 5.4e-16    ortho = 4.0e-15 
dgeqrf dgorgqr LAPACK | m =   58, n =   58, k =   58, nb =    3, lda =   58, ldq =   58,              | time = 0.000029   GFlop/sec = 9.017730| repres  = 5.8e-16    ortho = 4.2e-15 
dgeqrf dgorgqr LAPACK | m =   59, n =   59, k =   59, nb =    3, lda =   59, ldq =   59,              | time = 0.000032   GFlop/sec = 8.571363| repres  = 5.9e-16    ortho = 4.0e-15 
dgeqrf dgorgqr LAPACK | m =   60, n =   60, k =   60, nb =    3, lda =   60, ldq =   60,              | time = 0.000031   GFlop/sec = 9.291997| repres  = 6.2e-16    ortho = 4.2e-15 
dgeqrf dgorgqr LAPACK | m =   61, n =   61, k =   61, nb =    3, lda =   61, ldq =   61,              | time = 0.000031   GFlop/sec = 9.764383| repres  = 5.5e-16    ortho = 4.1e-15 
dgeqrf dgorgqr LAPACK | m =   62, n =   62, k =   62, nb =    3, lda =   62, ldq =   62,              | time = 0.000033   GFlop/sec = 9.658165| repres  = 5.5e-16    ortho = 3.8e-15 
dgeqrf dgorgqr LAPACK | m =   63, n =   63, k =   63, nb =    3, lda =   63, ldq =   63,              | time = 0.000034   GFlop/sec = 9.778770| repres  = 5.8e-16    ortho = 4.4e-15 
dgeqrf dgorgqr LAPACK | m =   64, n =   64, k =   64, nb =    3, lda =   64, ldq =   64,              | time = 0.000035   GFlop/sec = 9.972895| repres  = 5.7e-16    ortho = 4.6e-15 
dgeqrf dgorgqr LAPACK | m =   65, n =   65, k =   65, nb =    3, lda =   65, ldq =   65,              | time = 0.000100   GFlop/sec = 3.656701| repres  = 5.8e-16    ortho = 4.5e-15 
dgeqrf dgorgqr LAPACK | m =   66, n =   66, k =   66, nb =    3, lda =   66, ldq =   66,              | time = 0.000037   GFlop/sec = 10.306373| repres  = 5.8e-16    ortho = 4.1e-15 
dgeqrf dgorgqr LAPACK | m =   67, n =   67, k =   67, nb =    3, lda =   67, ldq =   67,              | time = 0.000040   GFlop/sec = 10.071788| repres  = 6.3e-16    ortho = 4.8e-15 
dgeqrf dgorgqr LAPACK | m =   68, n =   68, k =   68, nb =    3, lda =   68, ldq =   68,              | time = 0.000040   GFlop/sec = 10.466852| repres  = 5.6e-16    ortho = 4.5e-15 
dgeqrf dgorgqr LAPACK | m =   69, n =   69, k =   69, nb =    3, lda =   69, ldq =   69,              | time = 0.000040   GFlop/sec = 11.000931| repres  = 6.0e-16    ortho = 4.4e-15 
dgeqrf dgorgqr LAPACK | m =   70, n =   70, k =   70, nb =    3, lda =   70, ldq =   70,              | time = 0.000042   GFlop/sec = 10.898835| repres  = 5.6e-16    ortho = 4.4e-15 
dgeqrf dgorgqr LAPACK | m =   71, n =   71, k =   71, nb =    3, lda =   71, ldq =   71,              | time = 0.000044   GFlop/sec = 10.819370| repres  = 6.0e-16    ortho = 4.6e-15 
dgeqrf dgorgqr LAPACK | m =   72, n =   72, k =   72, nb =    3, lda =   72, ldq =   72,              | time = 0.000044   GFlop/sec = 11.282995| repres  = 6.0e-16    ortho = 4.9e-15 
dgeqrf dgorgqr LAPACK | m =   73, n =   73, k =   73, nb =    3, lda =   73, ldq =   73,              | time = 0.000046   GFlop/sec = 11.272232| repres  = 5.4e-16    ortho = 4.4e-15 
dgeqrf dgorgqr LAPACK | m =   74, n =   74, k =   74, nb =    3, lda =   74, ldq =   74,              | time = 0.000049   GFlop/sec = 11.054521| repres  = 5.5e-16    ortho = 4.4e-15 
dgeqrf dgorgqr LAPACK | m =   75, n =   75, k =   75, nb =    3, lda =   75, ldq =   75,              | time = 0.000052   GFlop/sec = 10.822459| repres  = 6.0e-16    ortho = 4.7e-15 
dgeqrf dgorgqr LAPACK | m =   76, n =   76, k =   76, nb =    3, lda =   76, ldq =   76,              | time = 0.000051   GFlop/sec = 11.471644| repres  = 5.7e-16    ortho = 4.7e-15 
dgeqrf dgorgqr LAPACK | m =   77, n =   77, k =   77, nb =    3, lda =   77, ldq =   77,              | time = 0.000053   GFlop/sec = 11.500530| repres  = 6.3e-16    ortho = 4.9e-15 
dgeqrf dgorgqr LAPACK | m =   78, n =   78, k =   78, nb =    3, lda =   78, ldq =   78,              | time = 0.000054   GFlop/sec = 11.691133| repres  = 6.2e-16    ortho = 5.1e-15 
dgeqrf dgorgqr LAPACK | m =   79, n =   79, k =   79, nb =    3, lda =   79, ldq =   79,              | time = 0.000058   GFlop/sec = 11.346806| repres  = 5.9e-16    ortho = 4.8e-15 
dgeqrf dgorgqr LAPACK | m =   80, n =   80, k =   80, nb =    3, lda =   80, ldq =   80,              | time = 0.000057   GFlop/sec = 11.980383| repres  = 6.0e-16    ortho = 4.7e-15 
dgeqrf dgorgqr LAPACK | m =   81, n =   81, k =   81, nb =    3, lda =   81, ldq =   81,              | time = 0.000058   GFlop/sec = 12.180465| repres  = 5.9e-16    ortho = 5.0e-15 
dgeqrf dgorgqr LAPACK | m =   82, n =   82, k =   82, nb =    3, lda =   82, ldq =   82,              | time = 0.000061   GFlop/sec = 12.044818| repres  = 6.0e-16    ortho = 5.1e-15 
dgeqrf dgorgqr LAPACK | m =   83, n =   83, k =   83, nb =    3, lda =   83, ldq =   83,              | time = 0.000063   GFlop/sec = 12.112366| repres  = 5.6e-16    ortho = 4.7e-15 
dgeqrf dgorgqr LAPACK | m =   84, n =   84, k =   84, nb =    3, lda =   84, ldq =   84,              | time = 0.000065   GFlop/sec = 12.141542| repres  = 6.4e-16    ortho = 5.5e-15 
dgeqrf dgorgqr LAPACK | m =   85, n =   85, k =   85, nb =    3, lda =   85, ldq =   85,              | time = 0.000066   GFlop/sec = 12.398686| repres  = 6.0e-16    ortho = 5.4e-15 
dgeqrf dgorgqr LAPACK | m =   86, n =   86, k =   86, nb =    3, lda =   86, ldq =   86,              | time = 0.000068   GFlop/sec = 12.480993| repres  = 6.4e-16    ortho = 5.6e-15 
dgeqrf dgorgqr LAPACK | m =   87, n =   87, k =   87, nb =    3, lda =   87, ldq =   87,              | time = 0.000071   GFlop/sec = 12.357771| repres  = 6.1e-16    ortho = 5.2e-15 
dgeqrf dgorgqr LAPACK | m =   88, n =   88, k =   88, nb =    3, lda =   88, ldq =   88,              | time = 0.000072   GFlop/sec = 12.619429| repres  = 6.2e-16    ortho = 5.2e-15 
dgeqrf dgorgqr LAPACK | m =   89, n =   89, k =   89, nb =    3, lda =   89, ldq =   89,              | time = 0.000072   GFlop/sec = 13.054544| repres  = 6.1e-16    ortho = 5.1e-15 
dgeqrf dgorgqr LAPACK | m =   90, n =   90, k =   90, nb =    3, lda =   90, ldq =   90,              | time = 0.000075   GFlop/sec = 12.942424| repres  = 6.3e-16    ortho = 5.6e-15 
dgeqrf dgorgqr LAPACK | m =   91, n =   91, k =   91, nb =    3, lda =   91, ldq =   91,              | time = 0.000079   GFlop/sec = 12.731947| repres  = 6.2e-16    ortho = 5.5e-15 
dgeqrf dgorgqr LAPACK | m =   92, n =   92, k =   92, nb =    3, lda =   92, ldq =   92,              | time = 0.000079   GFlop/sec = 13.156311| repres  = 6.6e-16    ortho = 5.9e-15 
dgeqrf dgorgqr LAPACK | m =   93, n =   93, k =   93, nb =    3, lda =   93, ldq =   93,              | time = 0.000080   GFlop/sec = 13.387769| repres  = 6.1e-16    ortho = 5.6e-15 
dgeqrf dgorgqr LAPACK | m =   94, n =   94, k =   94, nb =    3, lda =   94, ldq =   94,              | time = 0.000084   GFlop/sec = 13.158534| repres  = 6.0e-16    ortho = 5.3e-15 
dgeqrf dgorgqr LAPACK | m =   95, n =   95, k =   95, nb =    3, lda =   95, ldq =   95,              | time = 0.000087   GFlop/sec = 13.136407| repres  = 6.1e-16    ortho = 5.6e-15 
dgeqrf dgorgqr LAPACK | m =   96, n =   96, k =   96, nb =    3, lda =   96, ldq =   96,              | time = 0.000089   GFlop/sec = 13.264886| repres  = 6.1e-16    ortho = 5.6e-15 
dgeqrf dgorgqr LAPACK | m =   97, n =   97, k =   97, nb =    3, lda =   97, ldq =   97,              | time = 0.000093   GFlop/sec = 13.053804| repres  = 6.2e-16    ortho = 5.5e-15 
dgeqrf dgorgqr LAPACK | m =   98, n =   98, k =   98, nb =    3, lda =   98, ldq =   98,              | time = 0.000096   GFlop/sec = 13.060861| repres  = 6.3e-16    ortho = 5.7e-15 
dgeqrf dgorgqr LAPACK | m =   99, n =   99, k =   99, nb =    3, lda =   99, ldq =   99,              | time = 0.000098   GFlop/sec = 13.202689| repres  = 6.5e-16    ortho = 6.0e-15 
dgeqrf dgorgqr LAPACK | m =  100, n =  100, k =  100, nb =    3, lda =  100, ldq =  100,              | time = 0.000098   GFlop/sec = 13.606826| repres  = 6.8e-16    ortho = 6.3e-15 
dgeqrf dgorgqr LAPACK | m =  101, n =  101, k =  101, nb =    3, lda =  101, ldq =  101,              | time = 0.000099   GFlop/sec = 13.884002| repres  = 6.4e-16    ortho = 5.6e-15 
dgeqrf dgorgqr LAPACK | m =  102, n =  102, k =  102, nb =    3, lda =  102, ldq =  102,              | time = 0.000102   GFlop/sec = 13.898607| repres  = 6.4e-16    ortho = 6.0e-15 
dgeqrf dgorgqr LAPACK | m =  103, n =  103, k =  103, nb =    3, lda =  103, ldq =  103,              | time = 0.000106   GFlop/sec = 13.732522| repres  = 6.8e-16    ortho = 6.1e-15 
dgeqrf dgorgqr LAPACK | m =  104, n =  104, k =  104, nb =    3, lda =  104, ldq =  104,              | time = 0.000105   GFlop/sec = 14.297035| repres  = 6.5e-16    ortho = 6.1e-15 
dgeqrf dgorgqr LAPACK | m =  105, n =  105, k =  105, nb =    3, lda =  105, ldq =  105,              | time = 0.000108   GFlop/sec = 14.291188| repres  = 6.5e-16    ortho = 6.1e-15 
dgeqrf dgorgqr LAPACK | m =  106, n =  106, k =  106, nb =    3, lda =  106, ldq =  106,              | time = 0.000112   GFlop/sec = 14.171583| repres  = 6.4e-16    ortho = 6.3e-15 
dgeqrf dgorgqr LAPACK | m =  107, n =  107, k =  107, nb =    3, lda =  107, ldq =  107,              | time = 0.000119   GFlop/sec = 13.729333| repres  = 6.6e-16    ortho = 6.1e-15 
dgeqrf dgorgqr LAPACK | m =  108, n =  108, k =  108, nb =    3, lda =  108, ldq =  108,              | time = 0.000116   GFlop/sec = 14.465750| repres  = 6.8e-16    ortho = 6.7e-15 
dgeqrf dgorgqr LAPACK | m =  109, n =  109, k =  109, nb =    3, lda =  109, ldq =  109,              | time = 0.000121   GFlop/sec = 14.256549| repres  = 6.8e-16    ortho = 6.3e-15 
dgeqrf dgorgqr LAPACK | m =  110, n =  110, k =  110, nb =    3, lda =  110, ldq =  110,              | time = 0.000128   GFlop/sec = 13.861250| repres  = 6.8e-16    ortho = 6.5e-15 
dgeqrf dgorgqr LAPACK | m =  111, n =  111, k =  111, nb =    3, lda =  111, ldq =  111,              | time = 0.000130   GFlop/sec = 14.033664| repres  = 6.6e-16    ortho = 6.4e-15 
dgeqrf dgorgqr LAPACK | m =  112, n =  112, k =  112, nb =    3, lda =  112, ldq =  112,              | time = 0.000127   GFlop/sec = 14.768659| repres  = 6.5e-16    ortho = 6.3e-15 
dgeqrf dgorgqr LAPACK | m =  113, n =  113, k =  113, nb =    3, lda =  113, ldq =  113,              | time = 0.000130   GFlop/sec = 14.778873| repres  = 6.4e-16    ortho = 6.4e-15 
