gcc -g driver.c -o driver
dgeqrf dgorgqr LAPACK | m =   50, n =   50, k =   10, nb =    3, lda =   50, ldq =   50,              | time = 0.000073   GFlop/sec = 4.568959| repres  = 3.1e-16    ortho = 2.6e-15 
dgeqrf dgorgqr LAPACK | m =  450, n =  150, k =   10, nb =    3, lda =  450, ldq =  450,              | time = 0.001689   GFlop/sec = 21.314927| repres  = 3.6e-16    ortho = 7.7e-15 
dgeqrf dgorgqr LAPACK | m =  450, n =  250, k =   10, nb =    3, lda =  450, ldq =  450,              | time = 0.002825   GFlop/sec = 32.448128| repres  = 3.6e-16    ortho = 9.3e-15 
dgeqrf dgorgqr LAPACK | m =  450, n =  250, k =  210, nb =    3, lda =  450, ldq =  450,              | time = 0.027952   GFlop/sec = 3.279437| repres  = 1.2e-15    ortho = 1.6e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  250, k =  210, nb =   13, lda =  450, ldq =  450,              | time = 0.030393   GFlop/sec = 3.016057| repres  = 1.2e-15    ortho = 1.6e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  250, k =  210, nb =   23, lda =  450, ldq =  450,              | time = 0.028464   GFlop/sec = 3.220433| repres  = 1.2e-15    ortho = 1.6e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  350, k =   10, nb =    3, lda =  450, ldq =  450,              | time = 0.004458   GFlop/sec = 36.638659| repres  = 3.6e-16    ortho = 1.1e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  350, k =  210, nb =    3, lda =  450, ldq =  450,              | time = 0.047412   GFlop/sec = 3.444985| repres  = 1.2e-15    ortho = 2.1e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  350, k =  210, nb =   13, lda =  450, ldq =  450,              | time = 0.051148   GFlop/sec = 3.193351| repres  = 1.2e-15    ortho = 2.1e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  350, k =  210, nb =   23, lda =  450, ldq =  450,              | time = 0.047745   GFlop/sec = 3.420952| repres  = 1.2e-15    ortho = 2.1e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  450, k =   10, nb =    3, lda =  450, ldq =  450,              | time = 0.007756   GFlop/sec = 31.330604| repres  = 3.6e-16    ortho = 1.1e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  450, k =  210, nb =    3, lda =  450, ldq =  450,              | time = 0.066314   GFlop/sec = 3.664386| repres  = 1.2e-15    ortho = 2.6e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  450, k =  210, nb =   13, lda =  450, ldq =  450,              | time = 0.066669   GFlop/sec = 3.644873| repres  = 1.2e-15    ortho = 2.6e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  450, k =  210, nb =   23, lda =  450, ldq =  450,              | time = 0.067452   GFlop/sec = 3.602564| repres  = 1.2e-15    ortho = 2.6e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  450, k =  410, nb =    3, lda =  450, ldq =  450,              | time = 0.078215   GFlop/sec = 3.106826| repres  = 1.5e-15    ortho = 2.8e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  450, k =  410, nb =   13, lda =  450, ldq =  450,              | time = 0.074189   GFlop/sec = 3.275420| repres  = 1.5e-15    ortho = 2.9e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =  450, k =  410, nb =   23, lda =  450, ldq =  450,              | time = 0.074783   GFlop/sec = 3.249398| repres  = 1.5e-15    ortho = 2.9e-14 
